strain_name	species	division	class	habitat	strain_link	species_link	scientific_name	taxon_id	url_slug
K-0422	Punctaria tenuissima	Ochrophyta	Phaeophyceae	Marine, Epiphyte on Ceramium	https://norcca.scrol.net/strain/k-0422	https://norcca.scrol.net/species/punctaria-tenuissima	Punctaria tenuissima	145348	k-0422
K-0425	Scytosiphon lomentaria	Ochrophyta	Phaeophyceae	Marine, On rock	https://norcca.scrol.net/strain/k-0425	https://norcca.scrol.net/species/scytosiphon-lomentaria	Scytosiphon lomentaria	145869	k-0425
K-0426	Scytosiphon lomentaria	Ochrophyta	Phaeophyceae	Marine, On rock	https://norcca.scrol.net/strain/k-0426	https://norcca.scrol.net/species/scytosiphon-lomentaria	Scytosiphon lomentaria	145869	k-0426
K-0427	Ectocarpus siliculosus	Ochrophyta	Phaeophyceae	Marine, Epiphyte on Chordaria flagelliformis	https://norcca.scrol.net/strain/k-0427	https://norcca.scrol.net/species/ectocarpus-siliculosus	Ectocarpus siliculosus	145410	k-0427
K-0432	Chroomonas vectensis	Cryptophyta	Cryptophyceae	Marine/brackish	https://norcca.scrol.net/strain/k-0432	https://norcca.scrol.net/species/chroomonas-vectensis	Chroomonas vectensis	106295	k-0432
K-0435	Rhodomonas marina	Cryptophyta	Cryptophyceae	Marine	https://norcca.scrol.net/strain/k-0435	https://norcca.scrol.net/species/rhodomonas-marina	Rhodomonas marina	106314	k-0435
K-0437	Brachiomonas submarina	Chlorophyta	Chlorophyceae	Brackish, In puddle on jetty	https://norcca.scrol.net/strain/k-0437	https://norcca.scrol.net/species/brachiomonas-submarina	Brachiomonas submarina	345437	k-0437
K-0444	Olisthodiscus luteus	Ochrophyta	Raphidophyceae	Brackish	https://norcca.scrol.net/strain/k-0444	https://norcca.scrol.net/species/olisthodiscus-luteus	Olisthodiscus luteus	233765	k-0444
K-0448	Ulvaria fusca	Chlorophyta	Ulvophyceae	Marine, Littoral zone	https://norcca.scrol.net/strain/k-0448	https://norcca.scrol.net/species/ulvaria-fusca	Ulvaria fusca	494992	k-0448
K-0450	Ostreobium quekettii	Chlorophyta	Bryopsidophyceae	Marine, In shell of Pomatoceros triqueter	https://norcca.scrol.net/strain/k-0450	https://norcca.scrol.net/species/ostreobium-quekettii	Ostreobium quekettii	145095	k-0450
K-0451	Blastophysa rhizopus	Chlorophyta	Bryopsidophyceae	Marine, Epiphyte on Gracilaria sp.	https://norcca.scrol.net/strain/k-0451	https://norcca.scrol.net/species/blastophysa-rhizopus	Blastophysa rhizopus	144478	k-0451
K-0454	Blastophysa rhizopus	Chlorophyta	Bryopsidophyceae	Marine, On small green algae	https://norcca.scrol.net/strain/k-0454	https://norcca.scrol.net/species/blastophysa-rhizopus	Blastophysa rhizopus	144478	k-0454
