List	HELCOM area	OSPAR area	Division	Class	Order	Genus	Species	SFLAG	STAGE	Author	AphiaID	AphiaID_link	Trophy	Geometric_shape	FORMULA	SizeClassNo	Nonvalid_SIZCL	Not_accepted_name	Unit	SizeRange	Length(l1)µm	Length(l2)µm	Width(w)µm	Height(h)µm	Diameter(d1)µm	Diameter(d2)µm	No_of_cells/counting_unit	Calculated_volume_um3	Comment	Filament_length_of_cell(µm)	Calculated_Carbon_pg/counting_unit	Comment_on_Carbon_calculation	Corrections/Additions	Synonyms - NOT IMPORTED, NOT handled by ICES	WORMS Rank	"Comment_on_colony_form
 "" - "" indicates solitary life form, i.e. does nor form colonies  - NOT IMPORTED, NOT handled by ICES"
PEG_BVOL2021	x		CHLOROPHYTA	Chlorodendrophyceae	CHLORODENDRALES	Chlorodendrales	Chlorodendrales				17666	http://www.marinespecies.org/aphia.php?p=taxdetails&id=17666	AU	sphere-20%	?/6*d^3*0.8	2			cell	10-12					11		1	557,2453333			81,84485026				Order	 -
PEG_BVOL2021	x		CHLOROPHYTA	Chlorodendrophyceae	CHLORODENDRALES	Chlorodendrales	Chlorodendrales				17666	http://www.marinespecies.org/aphia.php?p=taxdetails&id=17666	AU	sphere-20%	?/6*d^3*0.8	3			cell	4-6					5		1	52,33333333			8,879462278				Order	 -
PEG_BVOL2021	x		CHLOROPHYTA	Nephroselmidophyceae	NEPHROSELMIDALES	Nephroselmis	Nephroselmis			F.Stein 1878 	134524	http://www.marinespecies.org/aphia.php?p=taxdetails&id=134524	AU	rotational ellipsoid	?/6*d^2*l	1			cell	3-5x2	2				4		1	16,74666667			3,04594808				Genus	 -
PEG_BVOL2021	x		CHLOROPHYTA	Pyramimonadophyceae	PYRAMIMONADALES	Halosphaera	Halosphaera			K.J.F.Schmitz 1878	134528	http://www.marinespecies.org/aphia.php?p=taxdetails&id=134528	AU	sphere	?/6*d^3	1			cell	80-120					100		1	523333,3333			50627,52148				Genus	 -
PEG_BVOL2021	x		CHLOROPHYTA	Pyramimonadophyceae	PYRAMIMONADALES	Halosphaera	Halosphaera			K.J.F.Schmitz 1878	134528	http://www.marinespecies.org/aphia.php?p=taxdetails&id=134528	AU	sphere	?/6*d^3	2			cell	120-160					140		1	1436026,667			130625,9142				Genus	 -
PEG_BVOL2021	x		CHLOROPHYTA	Pyramimonadophyceae	PYRAMIMONADALES	Halosphaera	Halosphaera			K.J.F.Schmitz 1878	134528	http://www.marinespecies.org/aphia.php?p=taxdetails&id=134528	AU	sphere	?/6*d^3	3			cell	160-200					180		1	3052080			265148,5848				Genus	 -
PEG_BVOL2021	x		CHLOROPHYTA	Pyramimonadophyceae	PYRAMIMONADALES	Halosphaera	Halosphaera			K.J.F.Schmitz 1878	134528	http://www.marinespecies.org/aphia.php?p=taxdetails&id=134528	AU	sphere	?/6*d^3	4			cell	200-300					250		1	8177083,333			668934,617				Genus	 -
PEG_BVOL2021	x		CHLOROPHYTA	Pyramimonadophyceae	PYRAMIMONADALES	Pyramimonas	Pyramimonas			Schmarda 1849 	134529	http://www.marinespecies.org/aphia.php?p=taxdetails&id=134529	AU	trapezoid	1/2*h*w*(l1+l2)	1			cell	 4x3	3	1	3	4			1	24			4,270434914				Genus	 -
PEG_BVOL2021	x		CHLOROPHYTA	Pyramimonadophyceae	PYRAMIMONADALES	Pyramimonas	Pyramimonas			Schmarda 1849 	134529	http://www.marinespecies.org/aphia.php?p=taxdetails&id=134529	AU	trapezoid	1/2*h*w*(l1+l2)	2			cell	 5-7x5	5	3	5	6			1	120			19,35552436				Genus	 -
PEG_BVOL2021	x		CHLOROPHYTA	Pyramimonadophyceae	PYRAMIMONADALES	Pyramimonas	Pyramimonas			Schmarda 1849 	134529	http://www.marinespecies.org/aphia.php?p=taxdetails&id=134529	AU	trapezoid	1/2*h*w*(l1+l2)	3			cell	 8-10x6	6	4	6	9			1	270			41,44807124				Genus	 -
